what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1321363235750
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1321363235765
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1321363235781
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1321363235781
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1321363235828
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1321363235828
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1321363235921
started,bundle,org.tigris.mtoolkit.common,5.1.0.20110411-0918,"org.tigris.mtoolkit.common",1321363236031
started,bundle,org.tigris.mtoolkit.osgimanagement,5.0.0.20110411-0918,"org.tigris.mtoolkit.osgimanagement",1321363236359
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1321363236406
started,bundle,org.tigris.mtoolkit.dpeditor,1.2.0.20110411-0918,"org.tigris.mtoolkit.dpeditor",1321363236406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321363238843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321363265031
